config,gridSize,numRes,tightness,nodes,edges,A_time_ms,A_expanded,A_cost,B_time_ms,B_norm_ms,B_expanded,B_UBprune,B_cost,B_normOK,B_UBcost,C_time_ms,C_expanded,C_cost,D_time_ms,D_norm_ms,D_expanded,D_UBprune,D_cost,D_normOK,D_UBcost
"20x20/3res",20,3,1.1,400,1874,3.5552,11,-1,16.8432,15.1237,11,0,-1,0,-1,1.6974,11,-1,12.0697,10.3605,11,0,-1,0,-1
"20x20/3res",20,3,1.2,400,1874,2.2168,94,-1,12.841,10.6051,94,0,-1,0,-1,2.2327,92,-1,13.1039,10.8265,92,0,-1,0,-1
"20x20/3res",20,3,1.5,400,1874,9.7858,1061,5631,35.4495,25.6264,1061,0,5631,0,-1,2.2141,85,6362,27.9489,25.7232,85,0,6362,0,-1
"20x20/3res",20,3,2,400,1874,1.8209,30,5008,4.8338,3.05,30,98,5008,1,5008,1.7798,30,5008,5.5801,3.0129,0,1,-1,1,5008
"20x20/3res",20,3,3,400,1874,2.0616,30,5008,5.3927,3.3996,30,99,5008,1,5008,1.9474,30,5008,5.2701,3.3377,0,1,-1,1,5008
"25x25/3res",25,3,1.1,625,2904,3.11,37,-1,20.5079,17.5786,37,0,-1,0,-1,3.2149,37,-1,20.3807,17.424,37,0,-1,0,-1
"25x25/3res",25,3,1.2,625,2904,11.1882,1036,-1,28.6741,17.9962,1036,0,-1,0,-1,10.6124,1061,-1,27.9992,17.47,1061,0,-1,0,-1
"25x25/3res",25,3,1.5,625,2904,8.0344,635,6182,28.7367,21.5269,635,0,6182,0,-1,3.1386,62,6494,24.8593,21.5983,62,0,6494,0,-1
"25x25/3res",25,3,2,625,2904,3.1503,35,5831,6.8157,4.0362,35,109,5831,1,5831,2.788,35,5842,9.5788,6.323,0,1,-1,1,5831
"25x25/3res",25,3,3,625,2904,3.1558,35,5831,7.2034,4.3499,35,109,5831,1,5831,3.0057,35,5842,6.774,4.1333,0,1,-1,1,5831
